metric,group,mean_before,mean_after,std_before,std_after,diff_(before-after),t_value,p_value,n
DERS_Nonacceptance_Emotional_Responses,remain_healthy,12.15,10.1,4.591468060149,3.945683851074688,2.0500000000000007,3.004,0.0073,20
DERS_Nonacceptance_Emotional_Responses,worsening,10.666666666666666,13.666666666666666,2.3380903889000244,6.0882400303098,-3.0,-1.476,0.2001,6
DERS_Goal_Directed_Behavior,fluctuating,14.21875,14.125,4.2558072279287185,4.233125894502746,0.09375,0.117,0.9079,32
DERS_Goal_Directed_Behavior,improving,13.357142857142858,10.714285714285714,3.2250734722016645,4.2322674669836156,2.642857142857144,3.293,0.0058,14
DERS_Goal_Directed_Behavior,remain_clinical,14.833333333333334,15.166666666666666,3.125166662222459,5.706721183540218,-0.33333333333333215,-0.124,0.9063,6
DERS_Goal_Directed_Behavior,remain_healthy,11.3,11.15,5.400779670809723,4.51051403302387,0.15000000000000036,0.122,0.9042,20
DERS_Goal_Directed_Behavior,worsening,10.0,12.166666666666666,2.9664793948382653,2.136976056643281,-2.166666666666666,-3.081,0.0274,6
DERS_Impulse_Control,fluctuating,10.8125,10.4375,3.91389171887736,3.6802655935013275,0.375,0.61,0.5466,32
DERS_Impulse_Control,improving,10.285714285714286,9.0,3.0741745966274343,2.935197542821371,1.2857142857142865,1.451,0.1704,14
DERS_Impulse_Control,remain_clinical,13.666666666666666,12.5,5.202563470700445,5.576737397439475,1.166666666666666,1.083,0.3284,6
DERS_Impulse_Control,remain_healthy,9.35,8.0,3.8013155617496426,1.9735087641318605,1.3499999999999996,1.831,0.0828,20
DERS_Impulse_Control,worsening,8.0,10.0,1.4142135623730951,3.03315017762062,-2.0,-1.936,0.1106,6
DERS_Lack_Emotional_Awareness,fluctuating,12.8125,12.375,2.3614853171734533,3.858380071246682,0.4375,0.684,0.4991,32
DERS_Lack_Emotional_Awareness,improving,12.785714285714286,11.785714285714286,3.512145332295467,3.765809166874854,1.0,1.109,0.2876,14
DERS_Lack_Emotional_Awareness,remain_clinical,12.5,13.166666666666666,2.588435821108957,3.3714487489307423,-0.6666666666666661,-0.415,0.6952,6
DERS_Lack_Emotional_Awareness,remain_healthy,11.6,11.6,3.283130726672493,3.9256243217849405,0.0,0.0,1.0,20
DERS_Lack_Emotional_Awareness,worsening,13.333333333333334,14.0,2.422120283277993,3.5777087639996634,-0.6666666666666661,-0.877,0.4206,6
DERS_Emotion_Regulation_Strategies,fluctuating,17.03125,16.90625,5.659615711335886,4.290720482397393,0.125,0.155,0.8775,32
DERS_Emotion_Regulation_Strategies,improving,18.0,14.642857142857142,5.349334969450372,5.314814460284832,3.3571428571428577,2.417,0.0311,14
DERS_Emotion_Regulation_Strategies,remain_clinical,21.0,23.0,7.0710678118654755,10.119288512538814,-2.0,-0.883,0.4178,6
DERS_Emotion_Regulation_Strategies,remain_healthy,14.45,14.1,4.110000640286799,3.143916431191483,0.34999999999999964,0.345,0.7337,20
DERS_Emotion_Regulation_Strategies,worsening,13.166666666666666,17.833333333333332,2.316606713852541,5.036533199202271,-4.666666666666666,-2.565,0.0504,6
DERS_Lack_Emotional_Clarity,fluctuating,9.625,9.21875,2.5746907111465864,2.3926550915451172,0.40625,0.826,0.4149,32
DERS_Lack_Emotional_Clarity,improving,9.285714285714286,7.857142857142857,2.0164161440372537,2.5071326821120348,1.4285714285714297,2.162,0.0498,14
DERS_Lack_Emotional_Clarity,remain_clinical,10.833333333333334,11.166666666666666,2.7141603981096374,6.177917664283546,-0.33333333333333215,-0.198,0.8511,6
DERS_Lack_Emotional_Clarity,remain_healthy,8.6,8.1,2.280350850198276,2.489979919597747,0.5,1.033,0.3145,20
DERS_Lack_Emotional_Clarity,worsening,9.333333333333334,11.0,1.505545305418162,2.1908902300206643,-1.666666666666666,-2.076,0.0925,6
CTQ,fluctuating,33.25,33.03125,10.57385698848359,9.444180235604392,0.21875,0.265,0.7927,32
CTQ,improving,30.357142857142858,30.857142857142858,4.180672431322739,5.2456156470412045,-0.5,-0.713,0.4884,14
CTQ,remain_clinical,31.666666666666668,33.333333333333336,3.5023801430836525,6.742897497861485,-1.6666666666666679,-1.052,0.3411,6
CTQ,remain_healthy,31.9,32.1,7.426127417507232,7.085195833567341,-0.20000000000000284,-0.255,0.8012,20
CTQ,worsening,38.333333333333336,36.0,18.282961102257662,17.424121211699603,2.3333333333333357,1.82,0.1285,6
CTQ_NEGLECT,fluctuating,14.375,14.75,5.895597044925054,6.334748002727853,-0.375,-0.824,0.4163,32
CTQ_NEGLECT,improving,12.714285714285714,13.357142857142858,3.172685623558386,3.992437906788337,-0.6428571428571441,-1.074,0.3024,14
CTQ_NEGLECT,remain_clinical,13.5,13.5,3.8340579025361627,4.415880433163924,0.0,0.0,1.0,6
CTQ_NEGLECT,remain_healthy,13.6,13.75,3.7752657626910673,3.795773272581241,-0.15000000000000036,-0.358,0.724,20
CTQ_NEGLECT,worsening,15.333333333333334,14.0,5.354126134736338,4.8166378315169185,1.333333333333334,1.661,0.1576,6
CTQ_ABUSE,fluctuating,18.875,18.28125,5.35061045658012,3.6916153907941696,0.59375,1.07,0.2931,32
CTQ_ABUSE,improving,17.642857142857142,17.5,1.5984195491000022,2.0286410760370144,0.14285714285714235,0.366,0.7202,14
CTQ_ABUSE,remain_clinical,18.166666666666668,19.833333333333332,1.9407902170679516,4.167333280008532,-1.6666666666666643,-1.025,0.3524,6
CTQ_ABUSE,remain_healthy,18.3,18.35,4.3781755392665085,4.183614654691248,-0.05000000000000071,-0.083,0.935,20
CTQ_ABUSE,worsening,23.0,22.0,13.29661611087573,12.83744522870497,1.0,1.369,0.2292,6
CTQ_emotional_abuse,fluctuating,7.53125,7.5,2.6758703739278022,2.688086020128988,0.03125,0.082,0.9349,32
CTQ_emotional_abuse,improving,7.214285714285714,7.0,1.4769288003552106,1.5191090506254998,0.2142857142857144,0.586,0.5681,14
CTQ_emotional_abuse,remain_clinical,7.666666666666667,9.5,1.7511900715418263,3.6742346141747673,-1.833333333333333,-1.467,0.2022,6
CTQ_emotional_abuse,remain_healthy,7.15,6.9,2.277463963548745,2.1496633763403397,0.25,0.705,0.4892,20
CTQ_emotional_abuse,worsening,8.833333333333334,9.0,5.076087732365022,6.099180272790763,-0.16666666666666607,-0.21,0.8417,6
CTQ_sexual_abuse,fluctuating,6.0625,5.53125,3.047341517221305,1.5023503092198247,0.53125,1.726,0.0943,32
CTQ_sexual_abuse,improving,5.357142857142857,5.142857142857143,0.633323693776651,0.5345224838248488,0.21428571428571352,1.883,0.0823,14
CTQ_sexual_abuse,remain_clinical,5.5,5.333333333333333,0.5477225575051661,0.5163977794943223,0.16666666666666696,0.415,0.6952,6
CTQ_sexual_abuse,remain_healthy,6.05,6.35,2.54382637606794,3.030980386815981,-0.2999999999999998,-0.754,0.4603,20
CTQ_sexual_abuse,worsening,8.833333333333334,7.833333333333333,7.935153852740768,6.462713568360172,1.0000000000000009,1.581,0.1747,6
CTQ_physical_neglect,fluctuating,6.0,6.15625,2.155263624321299,2.126778193388057,-0.15625,-0.709,0.4838,32
CTQ_physical_neglect,improving,5.428571428571429,5.428571428571429,0.7559289460184544,0.8516306272526403,0.0,0.0,1.0,14
CTQ_physical_neglect,remain_clinical,5.5,6.0,0.8366600265340756,1.6733200530681511,-0.5,-1.0,0.3632,6
CTQ_physical_neglect,remain_healthy,5.5,5.9,0.9459053029269173,1.3337718577107003,-0.40000000000000036,-2.373,0.0284,20
CTQ_physical_neglect,worsening,6.833333333333333,6.0,1.4719601443879744,1.0954451150103321,0.833333333333333,1.274,0.2586,6
CTQ_physical_abuse,fluctuating,5.28125,5.25,1.1139692183156762,1.0776318121606494,0.03125,0.373,0.7118,32
CTQ_physical_abuse,improving,5.071428571428571,5.357142857142857,0.26726124191242434,1.0818177620697813,-0.2857142857142856,-1.0,0.3356,14
CTQ_physical_abuse,remain_clinical,5.0,5.0,0.0,0.0,0.0,,,6
CTQ_physical_abuse,remain_healthy,5.1,5.1,0.44721359549995787,0.44721359549995787,0.0,,,20
CTQ_physical_abuse,worsening,5.333333333333333,5.166666666666667,0.5163977794943223,0.408248290463863,0.16666666666666607,1.0,0.3632,6
CTQ_emotional_neglect,fluctuating,8.375,8.59375,4.187153933702,4.521342756591303,-0.21875,-0.72,0.4767,32
CTQ_emotional_neglect,improving,7.285714285714286,7.928571428571429,2.867015908532811,3.604789244117539,-0.6428571428571432,-1.212,0.2471,14
CTQ_emotional_neglect,remain_clinical,8.0,7.5,3.521363372331802,3.0166206257996713,0.5,1.464,0.2031,6
CTQ_emotional_neglect,remain_healthy,8.1,7.85,3.226534722545144,3.030980386815982,0.25,0.705,0.4892,20
CTQ_emotional_neglect,worsening,8.5,8.0,4.54972526643093,3.794733192202055,0.5,1.168,0.2956,6
LHQ,fluctuating,40.03333333333333,40.833333333333336,8.045059882048555,5.988974544273336,-0.8000000000000043,-0.714,0.4811,30
LHQ,improving,40.42857142857143,38.142857142857146,7.91021039994693,10.12884033803508,2.2857142857142847,1.266,0.2276,14
LHQ,remain_clinical,43.0,41.8,16.140012391568973,13.367871932360812,1.2000000000000028,0.638,0.5583,5
LHQ,remain_healthy,35.1,35.3,6.007889549759155,8.316755440232182,-0.19999999999999574,-0.178,0.8608,20
LHQ,worsening,38.5,39.0,8.215838362577491,8.94427190999916,-0.5,-0.179,0.8648,6
